long,tiempo
2,74032
3,36543
4,102451
5,172265
6,483072
7,450320
8,1228089
9,1754890
10,5395860
11,7716752
12,17488254
13,17246969
14,58256045
15,56538734
16,144561708
17,93738380
18,209847279
19,217890469
20,508969456
21,530464835
22,1246804118
23,1328920851
24,3301840574
25,3347196287
26,7204455162
27,7524482619
28,16705354310
29,17249316140
30,38822160395
31,41068089242
32,94507841540
