long,tiempo
1,2796
2,3415
3,10089
4,15540
5,28554
6,45154
7,66537
8,101896
9,192677
10,276671
11,438249
12,1060635
13,1252913
14,2478206
15,3474134
16,5739286
17,9203804
18,15300638
19,23369750
20,37392108
21,56295477
22,84890441
23,128026614
24,154171937
25,219769217
26,322429001
27,457964515
28,699028259
29,1067992587
30,1629782932
