long,tiempo
1,7439
2,15331
3,52850
4,127049
5,314816
6,699576
7,1589433
8,3549824
9,7204096
10,18667157
11,35393216
12,91398517
13,125149414
14,308218362
15,308619804
16,577779505
17,781198461
18,1751479449
19,2259182057
20,5072912947
21,6397334001
22,14259274087
23,17833466305
24,40006042364
25,48508402845
26,106035768769
